年次,都道府県名,region,田_本地_ha,田_けい畔_ha,畑_本地_ha,畑_けい畔_ha
1995,長崎県,Nagasaki,24500,2040,28800,2380
1996,長崎県,Nagasaki,24200,2020,28100,2330
1997,長崎県,Nagasaki,23900,1990,27400,2280
1998,長崎県,Nagasaki,23600,1960,27000,2240
1999,長崎県,Nagasaki,23400,1940,26700,2210
2000,長崎県,Nagasaki,23200,1920,26200,2160
2001,長崎県,Nagasaki,23000,1910,25800,2120
2002,長崎県,Nagasaki,22800,1890,25300,2080
2003,長崎県,Nagasaki,22600,1880,25000,2050
2004,長崎県,Nagasaki,22400,1860,25200,2060
2005,長崎県,Nagasaki,22400,1740,24800,2360
2006,長崎県,Nagasaki,22300,1730,24700,2350
2007,長崎県,Nagasaki,22200,1720,24500,2330
2008,長崎県,Nagasaki,22000,1700,24900,2300
2009,長崎県,Nagasaki,21900,1690,24900,2300
2010,長崎県,Nagasaki,21800,1690,24800,2300
2011,長崎県,Nagasaki,21800,1690,24800,2290
2012,長崎県,Nagasaki,21700,1680,24800,2290
2013,長崎県,Nagasaki,21700,1680,24600,2280
2014,長崎県,Nagasaki,21500,1670,24400,2260
2015,長崎県,Nagasaki,21100,1650,24200,2170
2016,長崎県,Nagasaki,20400,1600,24000,2070
2017,長崎県,Nagasaki,20000,1580,23600,2040
2018,長崎県,Nagasaki,19800,1550,23300,2020
2019,長崎県,Nagasaki,19600,1540,23100,2000
2020,長崎県,Nagasaki,19600,1540,23000,2000
2021,長崎県,Nagasaki,19400,1530,22900,1990
2022,長崎県,Nagasaki,19400,1520,22900,1980
1965,宮崎県,Miyazaki,48000,3350,49800,1500
1966,宮崎県,Miyazaki,47800,3340,50000,1540
1967,宮崎県,Miyazaki,47300,3300,49800,1530
1968,宮崎県,Miyazaki,47300,3300,47800,1470
1969,宮崎県,Miyazaki,46400,3240,47200,1450
1970,宮崎県,Miyazaki,46100,3150,46500,1430
1971,宮崎県,Miyazaki,44600,3150,45800,1380
1972,宮崎県,Miyazaki,44100,3140,45000,1360
1973,宮崎県,Miyazaki,43600,3100,44300,1340
1974,宮崎県,Miyazaki,42900,3050,43400,1310
1975,宮崎県,Miyazaki,42500,3020,42400,1280
1976,宮崎県,Miyazaki,42100,3010,41900,1250
1977,宮崎県,Miyazaki,42000,3000,41200,1220
1978,宮崎県,Miyazaki,41800,2990,40300,1210
1979,宮崎県,Miyazaki,41400,2950,39200,1220
1980,宮崎県,Miyazaki,40900,2930,38700,1230
1981,宮崎県,Miyazaki,40400,2880,38200,1190
1982,宮崎県,Miyazaki,40100,2860,38100,1190
1983,宮崎県,Miyazaki,39900,2840,38100,1150
1984,宮崎県,Miyazaki,39700,2810,37800,1090
1985,宮崎県,Miyazaki,39400,2810,37400,1090
1986,宮崎県,Miyazaki,39200,2800,37100,1080
1987,宮崎県,Miyazaki,39000,2790,36700,1070
1988,宮崎県,Miyazaki,38800,2760,36200,1060
1989,宮崎県,Miyazaki,38400,2740,35300,1000
1990,宮崎県,Miyazaki,38200,2710,34700,988
1991,宮崎県,Miyazaki,37900,2700,34300,976
1992,宮崎県,Miyazaki,37700,2680,34000,971
1993,宮崎県,Miyazaki,37400,2660,33800,965
1994,宮崎県,Miyazaki,37400,2660,33500,956
1995,宮崎県,Miyazaki,37200,2650,33300,953
1996,宮崎県,Miyazaki,37000,2640,33000,942
1997,宮崎県,Miyazaki,36800,2630,32700,933
1998,宮崎県,Miyazaki,36600,2620,32400,926
1999,宮崎県,Miyazaki,36500,2610,32200,916
2000,宮崎県,Miyazaki,36300,2600,31900,905
2001,宮崎県,Miyazaki,36200,2590,31600,900
2002,宮崎県,Miyazaki,36000,2570,31400,895
2003,宮崎県,Miyazaki,35900,2560,31300,892
2004,宮崎県,Miyazaki,35700,2550,31300,892
2005,宮崎県,Miyazaki,35500,2550,31200,893
2006,宮崎県,Miyazaki,35300,2530,31200,889
2007,宮崎県,Miyazaki,35200,2530,31100,885
2008,宮崎県,Miyazaki,35100,2520,31000,885
2009,宮崎県,Miyazaki,35000,2510,30900,883
2010,宮崎県,Miyazaki,34900,2500,30800,872
2011,宮崎県,Miyazaki,34900,2460,30700,860
2012,宮崎県,Miyazaki,34800,2450,30600,857
2013,宮崎県,Miyazaki,34700,2450,30500,855
2014,宮崎県,Miyazaki,34600,2420,30300,954
2015,宮崎県,Miyazaki,34500,2410,30100,948
2016,宮崎県,Miyazaki,34300,2400,29900,990
2017,宮崎県,Miyazaki,33800,2350,29700,1020
2018,宮崎県,Miyazaki,33400,2340,29600,995
2019,宮崎県,Miyazaki,33100,2310,29600,994
2020,宮崎県,Miyazaki,32600,2290,29300,985
2021,宮崎県,Miyazaki,32300,2270,29200,979
2022,宮崎県,Miyazaki,32100,2250,29000,975
1965,宮城県,Miyagi,118200,6030,45300,1950
1966,宮城県,Miyagi,119200,6080,44400,1910
1967,宮城県,Miyagi,122600,6240,39700,1800
1968,宮城県,Miyagi,126200,6500,37700,1730
1969,宮城県,Miyagi,127200,6430,36000,1670
1970,宮城県,Miyagi,126600,6410,35000,1640
1971,宮城県,Miyagi,124400,6290,35400,1600
1972,宮城県,Miyagi,123800,6280,35300,1590
1973,宮城県,Miyagi,123300,6240,35000,1560
1974,宮城県,Miyagi,122200,6120,34500,1550
1975,宮城県,Miyagi,121200,6070,34200,1540
1976,宮城県,Miyagi,120800,6050,34000,1510
1977,宮城県,Miyagi,120700,6050,33100,1500
1978,宮城県,Miyagi,119900,5980,31900,1480
1979,宮城県,Miyagi,118900,5930,30800,1430
1980,宮城県,Miyagi,118400,5870,30400,1420
1981,宮城県,Miyagi,117800,5840,30300,1410
1982,宮城県,Miyagi,117000,5810,30100,1390
1983,宮城県,Miyagi,116600,5800,29900,1380
1984,宮城県,Miyagi,116300,5710,29900,1330
1985,宮城県,Miyagi,116000,5640,29900,1330
1986,宮城県,Miyagi,115600,5570,29800,1320
1987,宮城県,Miyagi,115400,5520,29700,1300
1988,宮城県,Miyagi,115000,5460,29500,1280
1989,宮城県,Miyagi,114700,5400,29500,1270
1990,宮城県,Miyagi,114000,5340,29200,1250
1991,宮城県,Miyagi,113700,5290,29000,1250
1992,宮城県,Miyagi,113100,5260,28800,1240
